Reporting level,Province,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Quebec,MRI Scan,90th Percentile,2018,Days,n/a
Provincial,Quebec,MRI Scan,Volume,2018,Number of cases,n/a
Provincial,Quebec,Prostate Cancer Surgery,50th Percentile,2018,Days,41
Provincial,Quebec,Prostate Cancer Surgery,90th Percentile,2018,Days,91
Provincial,Quebec,Prostate Cancer Surgery,Volume,2018,Number of cases,779
Provincial,Quebec,Radiation Therapy,% Meeting Benchmark,2018,Proportion,97
Provincial,Quebec,Radiation Therapy,50th Percentile,2018,Days,n/a
Provincial,Quebec,Radiation Therapy,90th Percentile,2018,Days,n/a
Provincial,Quebec,Radiation Therapy,Volume,2018,Number of cases,12772
Provincial,Saskatchewan,Bladder Cancer Surgery,50th Percentile,2018,Days,16
Provincial,Saskatchewan,Bladder Cancer Surgery,90th Percentile,2018,Days,28
Provincial,Saskatchewan,Bladder Cancer Surgery,Volume,2018,Number of cases,259
Provincial,Saskatchewan,Breast Cancer Surgery,50th Percentile,2018,Days,16
Provincial,Saskatchewan,Breast Cancer Surgery,90th Percentile,2018,Days,34
Provincial,Saskatchewan,Breast Cancer Surgery,Volume,2018,Number of cases,373
Provincial,Saskatchewan,CABG,50th Percentile,2018,Days,3
Provincial,Saskatchewan,CABG,90th Percentile,2018,Days,17
Provincial,Saskatchewan,CABG,Volume,2018,Number of cases,191
Provincial,Saskatchewan,Cataract Surgery,% Meeting Benchmark,2018,Proportion,62
Provincial,Saskatchewan,Cataract Surgery,50th Percentile,2018,Days,81
Provincial,Saskatchewan,Cataract Surgery,90th Percentile,2018,Days,203
Provincial,Saskatchewan,Cataract Surgery,Volume,2018,Number of cases,3981
Provincial,Saskatchewan,Colorectal Cancer Surgery,50th Percentile,2018,Days,16
Provincial,Saskatchewan,Colorectal Cancer Surgery,90th Percentile,2018,Days,37
Provincial,Saskatchewan,Colorectal Cancer Surgery,Volume,2018,Number of cases,184
Provincial,Saskatchewan,CT Scan,50th Percentile,2018,Days,19
Provincial,Saskatchewan,CT Scan,90th Percentile,2018,Days,58
Provincial,Saskatchewan,CT Scan,Volume,2018,Number of cases,23812
Provincial,Saskatchewan,Hip Fracture Repair,% Meeting Benchmark,2018,Proportion,79
Provincial,Saskatchewan,Hip Fracture Repair,50th Percentile,2018,Hours,33
Provincial,Saskatchewan,Hip Fracture Repair,90th Percentile,2018,Hours,65
Provincial,Saskatchewan,Hip Fracture Repair,Volume,2018,Number of cases,507
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2018,Proportion,n/a
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2018,Hours,n/a
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2018,Hours,n/a
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,Volume,2018,Number of cases,n/a
Provincial,Saskatchewan,Hip Replacement,% Meeting Benchmark,2018,Proportion,66
Provincial,Saskatchewan,Hip Replacement,50th Percentile,2018,Days,117
Provincial,Saskatchewan,Hip Replacement,90th Percentile,2018,Days,322
Provincial,Saskatchewan,Hip Replacement,Volume,2018,Number of cases,800
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2018,Proportion,n/a
Regional,Saskatchewan,Hip Replacement,50th Percentile,2018,Days,n/a
Regional,Saskatchewan,Hip Replacement,90th Percentile,2018,Days,n/a
Regional,Saskatchewan,Hip Replacement,Volume,2018,Number of cases,n/a
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2018,Proportion,n/a
Regional,Saskatchewan,Hip Replacement,50th Percentile,2018,Days,n/a
Regional,Saskatchewan,Hip Replacement,90th Percentile,2018,Days,n/a
Regional,Saskatchewan,Hip Replacement,Volume,2018,Number of cases,n/a
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2018,Proportion,n/a
Regional,Saskatchewan,Hip Replacement,50th Percentile,2018,Days,n/a
Regional,Saskatchewan,Hip Replacement,90th Percentile,2018,Days,n/a
Regional,Saskatchewan,Hip Replacement,Volume,2018,Number of cases,n/a
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2018,Proportion,68
Regional,Saskatchewan,Hip Replacement,50th Percentile,2018,Days,141
Regional,Saskatchewan,Hip Replacement,90th Percentile,2018,Days,335
Regional,Saskatchewan,Hip Replacement,Volume,2018,Number of cases,275
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2018,Proportion,64
Regional,Saskatchewan,Hip Replacement,50th Percentile,2018,Days,99
Regional,Saskatchewan,Hip Replacement,90th Percentile,2018,Days,315
Regional,Saskatchewan,Hip Replacement,Volume,2018,Number of cases,431
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2018,Proportion,88
Regional,Saskatchewan,Hip Replacement,50th Percentile,2018,Days,97
Regional,Saskatchewan,Hip Replacement,90th Percentile,2018,Days,209
Regional,Saskatchewan,Hip Replacement,Volume,2018,Number of cases,57
Regional,Saskatchewan,Hip Replacement,% Meeting Benchmark,2018,Proportion,44
Regional,Saskatchewan,Hip Replacement,50th Percentile,2018,Days,238
Regional,Saskatchewan,Hip Replacement,90th Percentile,2018,Days,459
Regional,Saskatchewan,Hip Replacement,Volume,2018,Number of cases,34
Provincial,Saskatchewan,Knee Replacement,% Meeting Benchmark,2018,Proportion,56
Provincial,Saskatchewan,Knee Replacement,50th Percentile,2018,Days,168
Provincial,Saskatchewan,Knee Replacement,90th Percentile,2018,Days,355
Provincial,Saskatchewan,Knee Replacement,Volume,2018,Number of cases,1310
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2018,Proportion,n/a
Regional,Saskatchewan,Knee Replacement,50th Percentile,2018,Days,n/a
Regional,Saskatchewan,Knee Replacement,90th Percentile,2018,Days,n/a
Regional,Saskatchewan,Knee Replacement,Volume,2018,Number of cases,n/a
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2018,Proportion,100
Regional,Saskatchewan,Knee Replacement,50th Percentile,2018,Days,40
Regional,Saskatchewan,Knee Replacement,90th Percentile,2018,Days,85
Regional,Saskatchewan,Knee Replacement,Volume,2018,Number of cases,20
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2018,Proportion,n/a
Regional,Saskatchewan,Knee Replacement,50th Percentile,2018,Days,n/a
Regional,Saskatchewan,Knee Replacement,90th Percentile,2018,Days,n/a
Regional,Saskatchewan,Knee Replacement,Volume,2018,Number of cases,n/a
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2018,Proportion,61
Regional,Saskatchewan,Knee Replacement,50th Percentile,2018,Days,167
Regional,Saskatchewan,Knee Replacement,90th Percentile,2018,Days,352
Regional,Saskatchewan,Knee Replacement,Volume,2018,Number of cases,529
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2018,Proportion,50
Regional,Saskatchewan,Knee Replacement,50th Percentile,2018,Days,191
Regional,Saskatchewan,Knee Replacement,90th Percentile,2018,Days,355
Regional,Saskatchewan,Knee Replacement,Volume,2018,Number of cases,628
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2018,Proportion,73
Regional,Saskatchewan,Knee Replacement,50th Percentile,2018,Days,130
Regional,Saskatchewan,Knee Replacement,90th Percentile,2018,Days,232
Regional,Saskatchewan,Knee Replacement,Volume,2018,Number of cases,90
Regional,Saskatchewan,Knee Replacement,% Meeting Benchmark,2018,Proportion,28
Regional,Saskatchewan,Knee Replacement,50th Percentile,2018,Days,335
Regional,Saskatchewan,Knee Replacement,90th Percentile,2018,Days,489
Regional,Saskatchewan,Knee Replacement,Volume,2018,Number of cases,43
Provincial,Saskatchewan,Lung Cancer Surgery,50th Percentile,2018,Days,13
Provincial,Saskatchewan,Lung Cancer Surgery,90th Percentile,2018,Days,26
Provincial,Saskatchewan,Lung Cancer Surgery,Volume,2018,Number of cases,58
Provincial,Saskatchewan,MRI Scan,50th Percentile,2018,Days,33
Provincial,Saskatchewan,MRI Scan,90th Percentile,2018,Days,189
Provincial,Saskatchewan,MRI Scan,Volume,2018,Number of cases,12305
Provincial,Saskatchewan,Prostate Cancer Surgery,50th Percentile,2018,Days,42
Provincial,Saskatchewan,Prostate Cancer Surgery,90th Percentile,2018,Days,94
Provincial,Saskatchewan,Prostate Cancer Surgery,Volume,2018,Number of cases,74
Provincial,Saskatchewan,Radiation Therapy,% Meeting Benchmark,2018,Proportion,97
Provincial,Saskatchewan,Radiation Therapy,50th Percentile,2018,Days,7
Provincial,Saskatchewan,Radiation Therapy,90th Percentile,2018,Days,18
Provincial,Saskatchewan,Radiation Therapy,Volume,2018,Number of cases,1052
Provincial,Alberta,Bladder Cancer Surgery,50th Percentile,2019,Days,29
Provincial,Alberta,Bladder Cancer Surgery,90th Percentile,2019,Days,68
Provincial,Alberta,Bladder Cancer Surgery,Volume,2019,Number of cases,1149
Provincial,Alberta,Breast Cancer Surgery,50th Percentile,2019,Days,17
Provincial,Alberta,Breast Cancer Surgery,90th Percentile,2019,Days,36
Provincial,Alberta,Breast Cancer Surgery,Volume,2019,Number of cases,1928
Provincial,Alberta,CABG,50th Percentile,2019,Days,7
Provincial,Alberta,CABG,90th Percentile,2019,Days,63
Provincial,Alberta,CABG,Volume,2019,Number of cases,549
Provincial,Alberta,Cataract Surgery,% Meeting Benchmark,2019,Proportion,44
Provincial,Alberta,Cataract Surgery,50th Percentile,2019,Days,131
Provincial,Alberta,Cataract Surgery,90th Percentile,2019,Days,356
Provincial,Alberta,Cataract Surgery,Volume,2019,Number of cases,13409
Provincial,Alberta,Colorectal Cancer Surgery,50th Percentile,2019,Days,24
Provincial,Alberta,Colorectal Cancer Surgery,90th Percentile,2019,Days,52
Provincial,Alberta,Colorectal Cancer Surgery,Volume,2019,Number of cases,743
Provincial,Alberta,CT Scan,50th Percentile,2019,Days,23
Provincial,Alberta,CT Scan,90th Percentile,2019,Days,90
Provincial,Alberta,CT Scan,Volume,2019,Number of cases,70851
Provincial,Alberta,Hip Fracture Repair,% Meeting Benchmark,2019,Proportion,91
Provincial,Alberta,Hip Fracture Repair,50th Percentile,2019,Hours,18
Provincial,Alberta,Hip Fracture Repair,90th Percentile,2019,Hours,46
Provincial,Alberta,Hip Fracture Repair,Volume,2019,Number of cases,1506
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,87
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Hours,25
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Hours,52
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,1349
Provincial,Alberta,Hip Replacement,% Meeting Benchmark,2019,Proportion,64
Provincial,Alberta,Hip Replacement,50th Percentile,2019,Days,141
Provincial,Alberta,Hip Replacement,90th Percentile,2019,Days,273
Provincial,Alberta,Hip Replacement,Volume,2019,Number of cases,2320
Regional,Alberta,Hip Replacement,% Meeting Benchmark,2019,Proportion,53
Regional,Alberta,Hip Replacement,50th Percentile,2019,Days,174
Regional,Alberta,Hip Replacement,90th Percentile,2019,Days,361
Regional,Alberta,Hip Replacement,Volume,2019,Number of cases,212
Regional,Alberta,Hip Replacement,% Meeting Benchmark,2019,Proportion,71
Regional,Alberta,Hip Replacement,50th Percentile,2019,Days,115
Regional,Alberta,Hip Replacement,90th Percentile,2019,Days,238
Regional,Alberta,Hip Replacement,Volume,2019,Number of cases,819
Regional,Alberta,Hip Replacement,% Meeting Benchmark,2019,Proportion,72
Regional,Alberta,Hip Replacement,50th Percentile,2019,Days,106
Regional,Alberta,Hip Replacement,90th Percentile,2019,Days,243
Regional,Alberta,Hip Replacement,Volume,2019,Number of cases,246
Regional,Alberta,Hip Replacement,% Meeting Benchmark,2019,Proportion,59
Regional,Alberta,Hip Replacement,50th Percentile,2019,Days,163
Regional,Alberta,Hip Replacement,90th Percentile,2019,Days,259
Regional,Alberta,Hip Replacement,Volume,2019,Number of cases,881
Regional,Alberta,Hip Replacement,% Meeting Benchmark,2019,Proportion,55
Regional,Alberta,Hip Replacement,50th Percentile,2019,Days,141
Regional,Alberta,Hip Replacement,90th Percentile,2019,Days,491
Regional,Alberta,Hip Replacement,Volume,2019,Number of cases,161
Provincial,Alberta,Knee Replacement,% Meeting Benchmark,2019,Proportion,62
Provincial,Alberta,Knee Replacement,50th Percentile,2019,Days,148
Provincial,Alberta,Knee Replacement,90th Percentile,2019,Days,315
Provincial,Alberta,Knee Replacement,Volume,2019,Number of cases,3176
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2019,Proportion,53
Regional,Alberta,Knee Replacement,50th Percentile,2019,Days,173
Regional,Alberta,Knee Replacement,90th Percentile,2019,Days,349
Regional,Alberta,Knee Replacement,Volume,2019,Number of cases,412
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2019,Proportion,72
Regional,Alberta,Knee Replacement,50th Percentile,2019,Days,120
Regional,Alberta,Knee Replacement,90th Percentile,2019,Days,347
Regional,Alberta,Knee Replacement,Volume,2019,Number of cases,1170
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2019,Proportion,61
Regional,Alberta,Knee Replacement,50th Percentile,2019,Days,139
Regional,Alberta,Knee Replacement,90th Percentile,2019,Days,290
Regional,Alberta,Knee Replacement,Volume,2019,Number of cases,351
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2019,Proportion,56
Regional,Alberta,Knee Replacement,50th Percentile,2019,Days,173
Regional,Alberta,Knee Replacement,90th Percentile,2019,Days,268
Regional,Alberta,Knee Replacement,Volume,2019,Number of cases,997
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2019,Proportion,57
Regional,Alberta,Knee Replacement,50th Percentile,2019,Days,131
Regional,Alberta,Knee Replacement,90th Percentile,2019,Days,460
Regional,Alberta,Knee Replacement,Volume,2019,Number of cases,244
Provincial,Alberta,Lung Cancer Surgery,50th Percentile,2019,Days,21
Provincial,Alberta,Lung Cancer Surgery,90th Percentile,2019,Days,46
Provincial,Alberta,Lung Cancer Surgery,Volume,2019,Number of cases,385
Provincial,Alberta,MRI Scan,50th Percentile,2019,Days,69
Provincial,Alberta,MRI Scan,90th Percentile,2019,Days,340
Provincial,Alberta,MRI Scan,Volume,2019,Number of cases,59854
Provincial,Alberta,Prostate Cancer Surgery,50th Percentile,2019,Days,45
Provincial,Alberta,Prostate Cancer Surgery,90th Percentile,2019,Days,104
Provincial,Alberta,Prostate Cancer Surgery,Volume,2019,Number of cases,583
Provincial,Alberta,Radiation Therapy,% Meeting Benchmark,2019,Proportion,98
Provincial,Alberta,Radiation Therapy,50th Percentile,2019,Days,9
Provincial,Alberta,Radiation Therapy,90th Percentile,2019,Days,21
Provincial,Alberta,Radiation Therapy,Volume,2019,Number of cases,4534
Provincial,British Columbia,Bladder Cancer Surgery,50th Percentile,2019,Days,23
Provincial,British Columbia,Bladder Cancer Surgery,90th Percentile,2019,Days,52
Provincial,British Columbia,Bladder Cancer Surgery,Volume,2019,Number of cases,1934
Provincial,British Columbia,Breast Cancer Surgery,50th Percentile,2019,Days,19
Provincial,British Columbia,Breast Cancer Surgery,90th Percentile,2019,Days,43
Provincial,British Columbia,Breast Cancer Surgery,Volume,2019,Number of cases,2060
Provincial,British Columbia,CABG,50th Percentile,2019,Days,6
Provincial,British Columbia,CABG,90th Percentile,2019,Days,45
Provincial,British Columbia,CABG,Volume,2019,Number of cases,1035
Provincial,British Columbia,Cataract Surgery,% Meeting Benchmark,2019,Proportion,69
Provincial,British Columbia,Cataract Surgery,50th Percentile,2019,Days,66
Provincial,British Columbia,Cataract Surgery,90th Percentile,2019,Days,231
Provincial,British Columbia,Cataract Surgery,Volume,2019,Number of cases,32766
Provincial,British Columbia,Colorectal Cancer Surgery,50th Percentile,2019,Days,21
Provincial,British Columbia,Colorectal Cancer Surgery,90th Percentile,2019,Days,52
Provincial,British Columbia,Colorectal Cancer Surgery,Volume,2019,Number of cases,977
Provincial,British Columbia,CT Scan,50th Percentile,2019,Days,20
Provincial,British Columbia,CT Scan,90th Percentile,2019,Days,100
Provincial,British Columbia,CT Scan,Volume,2019,Number of cases,148133
Provincial,British Columbia,Hip Fracture Repair,% Meeting Benchmark,2019,Proportion,80
Provincial,British Columbia,Hip Fracture Repair,50th Percentile,2019,Hours,29
Provincial,British Columbia,Hip Fracture Repair,90th Percentile,2019,Hours,64
Provincial,British Columbia,Hip Fracture Repair,Volume,2019,Number of cases,2226
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Hours,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Hours,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,n/a
Provincial,British Columbia,Hip Replacement,% Meeting Benchmark,2019,Proportion,76
Provincial,British Columbia,Hip Replacement,50th Percentile,2019,Days,96
Provincial,British Columbia,Hip Replacement,90th Percentile,2019,Days,280
Provincial,British Columbia,Hip Replacement,Volume,2019,Number of cases,3587
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2019,Proportion,56
Regional,British Columbia,Hip Replacement,50th Percentile,2019,Days,158
Regional,British Columbia,Hip Replacement,90th Percentile,2019,Days,357
Regional,British Columbia,Hip Replacement,Volume,2019,Number of cases,806
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2019,Proportion,75
Regional,British Columbia,Hip Replacement,50th Percentile,2019,Days,100
Regional,British Columbia,Hip Replacement,90th Percentile,2019,Days,301
Regional,British Columbia,Hip Replacement,Volume,2019,Number of cases,684
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2019,Proportion,81
Regional,British Columbia,Hip Replacement,50th Percentile,2019,Days,88
Regional,British Columbia,Hip Replacement,90th Percentile,2019,Days,224
Regional,British Columbia,Hip Replacement,Volume,2019,Number of cases,1108
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2019,Proportion,88
Regional,British Columbia,Hip Replacement,50th Percentile,2019,Days,83
Regional,British Columbia,Hip Replacement,90th Percentile,2019,Days,210
Regional,British Columbia,Hip Replacement,Volume,2019,Number of cases,776
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2019,Proportion,84
Regional,British Columbia,Hip Replacement,50th Percentile,2019,Days,70
Regional,British Columbia,Hip Replacement,90th Percentile,2019,Days,256
Regional,British Columbia,Hip Replacement,Volume,2019,Number of cases,213
Provincial,British Columbia,Knee Replacement,% Meeting Benchmark,2019,Proportion,66
Provincial,British Columbia,Knee Replacement,50th Percentile,2019,Days,123
Provincial,British Columbia,Knee Replacement,90th Percentile,2019,Days,323
Provincial,British Columbia,Knee Replacement,Volume,2019,Number of cases,5341
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2019,Proportion,53
Regional,British Columbia,Knee Replacement,50th Percentile,2019,Days,169
Regional,British Columbia,Knee Replacement,90th Percentile,2019,Days,343
Regional,British Columbia,Knee Replacement,Volume,2019,Number of cases,1100
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2019,Proportion,56
Regional,British Columbia,Knee Replacement,50th Percentile,2019,Days,164
Regional,British Columbia,Knee Replacement,90th Percentile,2019,Days,381
Regional,British Columbia,Knee Replacement,Volume,2019,Number of cases,1423
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2019,Proportion,69
Regional,British Columbia,Knee Replacement,50th Percentile,2019,Days,111
Regional,British Columbia,Knee Replacement,90th Percentile,2019,Days,296
Regional,British Columbia,Knee Replacement,Volume,2019,Number of cases,1297
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2019,Proportion,81
Regional,British Columbia,Knee Replacement,50th Percentile,2019,Days,92
Regional,British Columbia,Knee Replacement,90th Percentile,2019,Days,280
Regional,British Columbia,Knee Replacement,Volume,2019,Number of cases,1118
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2019,Proportion,83
Regional,British Columbia,Knee Replacement,50th Percentile,2019,Days,70
Regional,British Columbia,Knee Replacement,90th Percentile,2019,Days,237
Regional,British Columbia,Knee Replacement,Volume,2019,Number of cases,403
Provincial,British Columbia,Lung Cancer Surgery,50th Percentile,2019,Days,22
Provincial,British Columbia,Lung Cancer Surgery,90th Percentile,2019,Days,58
Provincial,British Columbia,Lung Cancer Surgery,Volume,2019,Number of cases,515
Provincial,British Columbia,MRI Scan,50th Percentile,2019,Days,43
Provincial,British Columbia,MRI Scan,90th Percentile,2019,Days,151
Provincial,British Columbia,MRI Scan,Volume,2019,Number of cases,83988
Provincial,British Columbia,Prostate Cancer Surgery,50th Percentile,2019,Days,42
Provincial,British Columbia,Prostate Cancer Surgery,90th Percentile,2019,Days,84
Provincial,British Columbia,Prostate Cancer Surgery,Volume,2019,Number of cases,517
Provincial,British Columbia,Radiation Therapy,% Meeting Benchmark,2019,Proportion,91
Provincial,British Columbia,Radiation Therapy,50th Percentile,2019,Days,10
Provincial,British Columbia,Radiation Therapy,90th Percentile,2019,Days,27
Provincial,British Columbia,Radiation Therapy,Volume,2019,Number of cases,6510
National,Canada,Bladder Cancer Surgery,50th Percentile,2019,Days,24
National,Canada,Bladder Cancer Surgery,90th Percentile,2019,Days,58
National,Canada,Bladder Cancer Surgery,Volume,2019,Number of cases,13132
National,Canada,Breast Cancer Surgery,50th Percentile,2019,Days,18
National,Canada,Breast Cancer Surgery,90th Percentile,2019,Days,38
National,Canada,Breast Cancer Surgery,Volume,2019,Number of cases,16224
National,Canada,CABG,50th Percentile,2019,Days,7
National,Canada,CABG,90th Percentile,2019,Days,57
National,Canada,CABG,Volume,2019,Number of cases,9142
National,Canada,Cataract Surgery,% Meeting Benchmark,2019,Proportion,70
National,Canada,Cataract Surgery,50th Percentile,2019,Days,67
National,Canada,Cataract Surgery,90th Percentile,2019,Days,219
National,Canada,Cataract Surgery,Volume,2019,Number of cases,183163
National,Canada,Colorectal Cancer Surgery,50th Percentile,2019,Days,21
National,Canada,Colorectal Cancer Surgery,90th Percentile,2019,Days,44
National,Canada,Colorectal Cancer Surgery,Volume,2019,Number of cases,6802
National,Canada,CT Scan,50th Percentile,2019,Days,13
National,Canada,CT Scan,90th Percentile,2019,Days,66
National,Canada,CT Scan,Volume,2019,Number of cases,886622
National,Canada,Hip Fracture Repair,% Meeting Benchmark,2019,Proportion,86
National,Canada,Hip Fracture Repair,50th Percentile,2019,Hours,23
National,Canada,Hip Fracture Repair,90th Percentile,2019,Hours,56
National,Canada,Hip Fracture Repair,Volume,2019,Number of cases,11577
National,Canada,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Hours,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Hours,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,n/a
National,Canada,Hip Replacement,% Meeting Benchmark,2019,Proportion,75
National,Canada,Hip Replacement,50th Percentile,2019,Days,106
National,Canada,Hip Replacement,90th Percentile,2019,Days,271
National,Canada,Hip Replacement,Volume,2019,Number of cases,21941
National,Canada,Knee Replacement,% Meeting Benchmark,2019,Proportion,70
National,Canada,Knee Replacement,50th Percentile,2019,Days,121
National,Canada,Knee Replacement,90th Percentile,2019,Days,314
National,Canada,Knee Replacement,Volume,2019,Number of cases,35182
National,Canada,Lung Cancer Surgery,50th Percentile,2019,Days,24
National,Canada,Lung Cancer Surgery,90th Percentile,2019,Days,50
National,Canada,Lung Cancer Surgery,Volume,2019,Number of cases,4362
National,Canada,MRI Scan,50th Percentile,2019,Days,42
National,Canada,MRI Scan,90th Percentile,2019,Days,151
National,Canada,MRI Scan,Volume,2019,Number of cases,574663
National,Canada,Prostate Cancer Surgery,50th Percentile,2019,Days,41
National,Canada,Prostate Cancer Surgery,90th Percentile,2019,Days,102
National,Canada,Prostate Cancer Surgery,Volume,2019,Number of cases,3507
National,Canada,Radiation Therapy,% Meeting Benchmark,2019,Proportion,97
National,Canada,Radiation Therapy,50th Percentile,2019,Days,9
National,Canada,Radiation Therapy,90th Percentile,2019,Days,21
National,Canada,Radiation Therapy,Volume,2019,Number of cases,47624
Provincial,Manitoba,Bladder Cancer Surgery,50th Percentile,2019,Days,n/a
Provincial,Manitoba,Bladder Cancer Surgery,90th Percentile,2019,Days,n/a
Provincial,Manitoba,Bladder Cancer Surgery,Volume,2019,Number of cases,n/a
Provincial,Manitoba,Breast Cancer Surgery,50th Percentile,2019,Days,28
Provincial,Manitoba,Breast Cancer Surgery,90th Percentile,2019,Days,59
Provincial,Manitoba,Breast Cancer Surgery,Volume,2019,Number of cases,207
Provincial,Manitoba,CABG,50th Percentile,2019,Days,8
Provincial,Manitoba,CABG,90th Percentile,2019,Days,76
Provincial,Manitoba,CABG,Volume,2019,Number of cases,205
Provincial,Manitoba,Cataract Surgery,% Meeting Benchmark,2019,Proportion,33
Provincial,Manitoba,Cataract Surgery,50th Percentile,2019,Days,162
Provincial,Manitoba,Cataract Surgery,90th Percentile,2019,Days,422
Provincial,Manitoba,Cataract Surgery,Volume,2019,Number of cases,3769
Provincial,Manitoba,Colorectal Cancer Surgery,50th Percentile,2019,Days,n/a
Provincial,Manitoba,Colorectal Cancer Surgery,90th Percentile,2019,Days,n/a
Provincial,Manitoba,Colorectal Cancer Surgery,Volume,2019,Number of cases,n/a
Provincial,Manitoba,CT Scan,50th Percentile,2019,Days,23
Provincial,Manitoba,CT Scan,90th Percentile,2019,Days,80
Provincial,Manitoba,CT Scan,Volume,2019,Number of cases,54206
Provincial,Manitoba,Hip Fracture Repair,% Meeting Benchmark,2019,Proportion,93
Provincial,Manitoba,Hip Fracture Repair,50th Percentile,2019,Hours,19
Provincial,Manitoba,Hip Fracture Repair,90th Percentile,2019,Hours,44
Provincial,Manitoba,Hip Fracture Repair,Volume,2019,Number of cases,607
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Hours,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Hours,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,n/a
Provincial,Manitoba,Hip Replacement,% Meeting Benchmark,2019,Proportion,55
Provincial,Manitoba,Hip Replacement,50th Percentile,2019,Days,163
Provincial,Manitoba,Hip Replacement,90th Percentile,2019,Days,368
Provincial,Manitoba,Hip Replacement,Volume,2019,Number of cases,842
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2019,Proportion,n/a
Regional,Manitoba,Hip Replacement,50th Percentile,2019,Days,n/a
Regional,Manitoba,Hip Replacement,90th Percentile,2019,Days,n/a
Regional,Manitoba,Hip Replacement,Volume,2019,Number of cases,n/a
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2019,Proportion,14
Regional,Manitoba,Hip Replacement,50th Percentile,2019,Days,334
Regional,Manitoba,Hip Replacement,90th Percentile,2019,Days,630
Regional,Manitoba,Hip Replacement,Volume,2019,Number of cases,97
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2019,Proportion,40
Regional,Manitoba,Hip Replacement,50th Percentile,2019,Days,295
Regional,Manitoba,Hip Replacement,90th Percentile,2019,Days,374
Regional,Manitoba,Hip Replacement,Volume,2019,Number of cases,83
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2019,Proportion,n/a
Regional,Manitoba,Hip Replacement,50th Percentile,2019,Days,n/a
Regional,Manitoba,Hip Replacement,90th Percentile,2019,Days,n/a
